X,Recall,Precision
0,0.059275977,0.977087446
0.01,0.501269129,0.9677473
0.02,0.591277499,0.966430388
0.03,0.779865037,0.966070714
0.04,0.823815928,0.965851905
0.05,0.837373274,0.965730756
0.06,0.843342415,0.96555033
0.07,0.847038314,0.965333225
0.08,0.849699459,0.965186408
0.09,0.85228831,0.964962949
0.1,0.85523572,0.964749467
0.11,0.858403236,0.964476346
0.12,0.861402983,0.964263083
0.13,0.865235308,0.963983316
0.14,0.869965471,0.963587275
0.15,0.873603185,0.96334433
0.16,0.878474153,0.962878806
0.17,0.883974688,0.962430172
0.18,0.889205932,0.96201469
0.19,0.894709001,0.961669408
0.2,0.899999366,0.961247864
0.21,0.907688374,0.960594366
0.22,0.914621025,0.960076965
0.23,0.920139519,0.959679219
0.24,0.925951424,0.959294877
0.25,0.933293856,0.95867238
0.26,0.938614982,0.958295184
0.27,0.945475704,0.957699907
0.28,0.951673387,0.957197366
0.29,0.957253208,0.956794312
0.3,0.962740095,0.95634843
0.31,0.967268307,0.955925775
0.32,0.973866841,0.95527579
0.33,0.978662215,0.954919526
0.34,0.981177131,0.954754702
0.35,0.983285108,0.954589753
0.36,0.985584205,0.954401689
0.37,0.986225809,0.954322611
0.38,0.986878764,0.954266525
0.39,0.987202204,0.954249975
0.4,0.98725708,0.954220247
0.41,0.987329363,0.954213658
0.42,0.987432531,0.954193738
0.43,0.987535723,0.954173817
0.44,0.98761826,0.95415068
0.45,0.987714559,0.954127389
0.46,0.987790235,0.954104252
0.47,0.987865925,0.954084333
0.48,0.987938306,0.954077745
0.49,0.988031395,0.954074374
0.5,0.988089917,0.954057826
0.51,0.988138138,0.954044651
0.52,0.988186364,0.954034691
0.53,0.988234637,0.954028104
0.54,0.988334404,0.953985052
0.55,0.988437812,0.953961918
0.56,0.988503378,0.953958547
0.57,0.988606786,0.953928827
0.58,0.98868266,0.953912281
0.59,0.988744807,0.953905694
0.6,0.988865629,0.953885934
0.61,0.988927761,0.953875976
0.62,0.988989825,0.953852844
0.63,0.989072566,0.953819756
0.64,0.989141683,0.953813169
0.65,0.9891866,0.953806583
0.66,0.989224492,0.953783453
0.67,0.989317808,0.953773496
0.68,0.989435438,0.953773496
0.69,0.989532257,0.953760324
0.7,0.989622209,0.953753738
0.71,0.989718923,0.953720652
0.72,0.989784638,0.953710695
0.73,0.989881496,0.953697368
0.74,0.989968053,0.953693997
0.75,0.990054626,0.953687411
0.76,0.990096099,0.953667654
0.77,0.990154835,0.953641156
0.78,0.990310668,0.953614815
0.79,0.990435413,0.953601645
0.8,0.990501199,0.953585104
0.81,0.990611989,0.953555237
0.82,0.990747226,0.953542068
0.83,0.990847828,0.953535483
0.84,0.990934503,0.953515729
0.85,0.991024541,0.953476066
0.86,0.991149264,0.953426449
0.87,0.991263698,0.953390159
0.88,0.991367648,0.953337333
0.89,0.991492539,0.953297676
0.9,0.991582616,0.953238271
0.91,0.99170398,0.953175499
0.92,0.991807964,0.953106149
0.93,0.991918937,0.953027168
0.94,0.992085599,0.952948035
0.95,0.992311336,0.952829267
0.96,0.992460407,0.952677455
0.97,0.992689658,0.95250609
0.98,0.992935878,0.952199207
0.99,0.993337341,0.951346073
1,1,0
